return_id,order_id,return_date,return_reason,refund_amount
RET-00451,ORD-06152,2025-05-08,Wrong Size,65.0
RET-00452,ORD-07857,2025-10-06,Product Not as Described,83.95
RET-00453,ORD-08569,2025-11-29,Defective Item,34.99
RET-00454,ORD-03912,2024-12-05,Late Delivery,178.99
RET-00455,ORD-02721,2024-10-04,Changed Mind,58.99
RET-00456,ORD-06076,2025-05-07,Wrong Size,130.0
RET-00457,ORD-09135,2025-12-10,Damaged Item,18.75
RET-00458,ORD-05248,2025-02-03,Late Delivery,715.96
RET-00459,ORD-02445,2024-09-03,Defective Item,27.95
RET-00460,ORD-09528,2025-12-18,Changed Mind,33.59
RET-00461,ORD-01573,2024-06-27,Wrong Size,50.95
RET-00462,ORD-08971,2025-11-29,Wrong Size,70.99
RET-00463,ORD-09778,2026-01-02,Wrong Size,98.7
RET-00464,ORD-07708,2025-09-29,Late Delivery,49.0
RET-00465,ORD-00880,2024-04-27,Late Delivery,8.99
RET-00466,ORD-09813,2026-01-01,Changed Mind,97.0
RET-00467,ORD-08689,2025-12-04,Changed Mind,38.39
RET-00468,ORD-05005,2024-12-30,Wrong Size,42.59
RET-00469,ORD-05090,2025-01-11,Wrong Size,70.99
RET-00470,ORD-05145,2025-01-16,Wrong Size,96.8
RET-00471,ORD-09466,2025-12-22,Wrong Size,76.0
RET-00472,ORD-01053,2024-05-04,Product Not as Described,152.85
RET-00473,ORD-07323,2025-08-26,Damaged Item,24.95
RET-00474,ORD-01938,2024-07-21,Changed Mind,21.0
RET-00475,ORD-04681,2024-12-22,Product Not as Described,158.0
RET-00476,ORD-00107,2024-01-29,Defective Item,133.9
RET-00477,ORD-00128,2024-01-29,Damaged Item,41.95
RET-00478,ORD-00219,2024-02-05,Damaged Item,41.95
RET-00479,ORD-09532,2025-12-17,Wrong Size,23.75
RET-00480,ORD-04335,2024-12-12,Wrong Size,86.62
RET-00481,ORD-00881,2024-04-29,Wrong Size,37.9
RET-00482,ORD-04780,2024-12-26,Wrong Size,63.0
RET-00483,ORD-08923,2025-12-04,Defective Item,39.0
RET-00484,ORD-03025,2024-10-26,Damaged Item,131.0
RET-00485,ORD-02138,2024-08-06,Defective Item,91.71
RET-00486,ORD-01914,2024-07-21,Defective Item,145.98
RET-00487,ORD-06805,2025-07-13,Defective Item,66.0
RET-00488,ORD-07280,2025-08-12,Defective Item,27.29
RET-00489,ORD-08408,2025-11-13,Defective Item,264.0
RET-00490,ORD-09242,2025-12-13,Damaged Item,34.99
RET-00491,ORD-04673,2024-12-28,Wrong Size,40.6
RET-00492,ORD-05285,2025-02-01,Late Delivery,141.0
RET-00493,ORD-04864,2025-01-05,Wrong Size,63.0
RET-00494,ORD-06920,2025-07-13,Changed Mind,365.85
RET-00495,ORD-08312,2025-11-13,Late Delivery,66.0
RET-00496,ORD-09321,2025-12-21,Wrong Size,33.56
RET-00497,ORD-04407,2024-12-21,Wrong Size,57.98
RET-00498,ORD-09330,2025-12-14,Wrong Size,3.99
RET-00499,ORD-06922,2025-07-15,Damaged Item,19.79
RET-00500,ORD-03457,2024-11-20,Product Not as Described,130.15
RET-00501,ORD-00653,2024-04-05,Defective Item,116.85
RET-00502,ORD-07516,2025-09-06,Product Not as Described,19.5
RET-00503,ORD-09373,2025-12-17,Damaged Item,42.69
RET-00504,ORD-03022,2024-10-26,Wrong Size,168.12
RET-00505,ORD-02582,2024-09-21,Wrong Size,38.0
RET-00506,ORD-05998,2025-05-04,Changed Mind,18.95
RET-00507,ORD-00408,2024-03-09,Product Not as Described,113.4
RET-00508,ORD-08291,2025-11-13,Product Not as Described,96.26
RET-00509,ORD-08011,2025-10-21,Wrong Size,156.99
RET-00510,ORD-06373,2025-06-05,Changed Mind,81.58
RET-00511,ORD-06117,2025-05-04,Product Not as Described,316.0
RET-00512,ORD-09238,2025-12-18,Wrong Size,25.34
RET-00513,ORD-05089,2025-01-13,Late Delivery,355.0
RET-00514,ORD-07122,2025-08-08,Defective Item,15.9
RET-00515,ORD-09840,2026-01-05,Wrong Size,17.1
RET-00516,ORD-03330,2024-11-12,Product Not as Described,32.25
RET-00517,ORD-02537,2024-09-18,Late Delivery,109.0
RET-00518,ORD-02260,2024-08-20,Damaged Item,109.76
RET-00519,ORD-09994,2026-01-04,Changed Mind,28.99
RET-00520,ORD-05221,2025-01-26,Product Not as Described,8.4
RET-00521,ORD-04757,2024-12-31,Wrong Size,41.95
RET-00522,ORD-05138,2025-01-13,Product Not as Described,94.95
RET-00523,ORD-01133,2024-05-19,Defective Item,359.8
RET-00524,ORD-09563,2025-12-19,Changed Mind,21.0
RET-00525,ORD-06120,2025-05-13,Wrong Size,50.95
RET-00526,ORD-04051,2024-12-06,Defective Item,106.95
RET-00527,ORD-01363,2024-06-10,Late Delivery,39.0
RET-00528,ORD-04320,2024-12-10,Damaged Item,36.95
RET-00529,ORD-09347,2025-12-13,Changed Mind,30.99
RET-00530,ORD-08534,2025-11-25,Damaged Item,18.95
RET-00531,ORD-07325,2025-08-24,Product Not as Described,34.99
RET-00532,ORD-05866,2025-04-20,Damaged Item,40.0
RET-00533,ORD-00148,2024-02-01,Wrong Size,30.99
RET-00534,ORD-01981,2024-08-01,Late Delivery,12.34
RET-00535,ORD-03776,2024-11-27,Defective Item,178.99
RET-00536,ORD-08265,2025-11-08,Wrong Size,63.05
RET-00537,ORD-00561,2024-03-26,Product Not as Described,86.97
RET-00538,ORD-07475,2025-08-31,Defective Item,161.91
RET-00539,ORD-00562,2024-03-18,Defective Item,70.99
RET-00540,ORD-08524,2025-11-30,Product Not as Described,56.85
RET-00541,ORD-05783,2025-04-03,Product Not as Described,21.84
RET-00542,ORD-02191,2024-08-16,Wrong Size,18.95
RET-00543,ORD-09820,2025-12-29,Wrong Size,28.99
RET-00544,ORD-02160,2024-08-09,Defective Item,205.98
RET-00545,ORD-00302,2024-02-18,Product Not as Described,6.99
RET-00546,ORD-01626,2024-07-04,Defective Item,7.99
RET-00547,ORD-09725,2026-01-02,Product Not as Described,34.79
RET-00548,ORD-06487,2025-06-05,Product Not as Described,58.0
RET-00549,ORD-02801,2024-10-06,Changed Mind,88.95
RET-00550,ORD-01596,2024-06-23,Product Not as Described,109.0
RET-00551,ORD-02673,2024-09-23,Damaged Item,153.0
RET-00552,ORD-06131,2025-05-16,Wrong Size,45.05
RET-00553,ORD-04537,2024-12-24,Wrong Size,47.99
RET-00554,ORD-09351,2025-12-16,Changed Mind,5.95
RET-00555,ORD-02561,2024-09-17,Damaged Item,47.4
RET-00556,ORD-09091,2025-12-05,Defective Item,320.85
RET-00557,ORD-01888,2024-07-15,Product Not as Described,33.15
RET-00558,ORD-09977,2026-01-01,Damaged Item,45.95
RET-00559,ORD-07293,2025-08-22,Late Delivery,38.99
RET-00560,ORD-01251,2024-05-26,Changed Mind,25.99
RET-00561,ORD-04009,2024-12-09,Wrong Size,141.98
RET-00562,ORD-05917,2025-04-19,Product Not as Described,39.0
RET-00563,ORD-01851,2024-07-15,Product Not as Described,47.9
RET-00564,ORD-05948,2025-04-17,Defective Item,47.16
RET-00565,ORD-03535,2024-11-22,Product Not as Described,80.06
RET-00566,ORD-04257,2024-12-10,Wrong Size,5.0
RET-00567,ORD-07217,2025-08-08,Late Delivery,68.99
RET-00568,ORD-03888,2024-12-01,Late Delivery,36.99
RET-00569,ORD-02058,2024-08-07,Wrong Size,32.99
RET-00570,ORD-03400,2024-11-21,Damaged Item,70.99
RET-00571,ORD-03404,2024-11-15,Wrong Size,191.67
RET-00572,ORD-06217,2025-05-20,Wrong Size,70.99
RET-00573,ORD-04123,2024-12-11,Late Delivery,29.87
RET-00574,ORD-04462,2024-12-23,Late Delivery,49.49
RET-00575,ORD-09824,2026-01-01,Product Not as Described,141.98
RET-00576,ORD-05496,2025-03-03,Wrong Size,50.11
RET-00577,ORD-01803,2024-07-10,Late Delivery,72.99
RET-00578,ORD-09723,2025-12-25,Wrong Size,40.76
RET-00579,ORD-05483,2025-03-07,Wrong Size,141.98
RET-00580,ORD-00862,2024-04-23,Product Not as Described,150.99
RET-00581,ORD-05595,2025-03-18,Defective Item,27.95
RET-00582,ORD-08554,2025-11-29,Defective Item,115.64
RET-00583,ORD-01390,2024-06-12,Product Not as Described,423.87
RET-00584,ORD-03261,2024-11-07,Changed Mind,77.98
RET-00585,ORD-07425,2025-09-01,Wrong Size,47.99
RET-00586,ORD-09724,2026-01-01,Wrong Size,28.99
RET-00587,ORD-06070,2025-05-05,Wrong Size,38.99
RET-00588,ORD-04343,2024-12-15,Defective Item,37.99
RET-00589,ORD-07077,2025-07-24,Defective Item,102.99
RET-00590,ORD-03375,2024-11-18,Product Not as Described,45.99
RET-00591,ORD-06016,2025-04-27,Changed Mind,34.99
RET-00592,ORD-08447,2025-11-18,Defective Item,61.98
RET-00593,ORD-05648,2025-03-17,Wrong Size,35.99
RET-00594,ORD-03969,2024-11-30,Changed Mind,95.9
RET-00595,ORD-00080,2024-01-21,Defective Item,60.99
RET-00596,ORD-07076,2025-07-24,Damaged Item,37.05
RET-00597,ORD-05022,2025-01-10,Changed Mind,47.99
RET-00598,ORD-09784,2025-12-27,Wrong Size,344.0
RET-00599,ORD-05676,2025-03-28,Defective Item,63.99
RET-00600,ORD-03874,2024-11-29,Product Not as Described,79.0
RET-00601,ORD-05737,2025-03-30,Late Delivery,41.9
RET-00602,ORD-04775,2024-12-22,Product Not as Described,80.21
RET-00603,ORD-07449,2025-08-28,Wrong Size,38.99
RET-00604,ORD-08319,2025-11-17,Damaged Item,67.0
RET-00605,ORD-03297,2024-11-11,Defective Item,32.0
RET-00606,ORD-07543,2025-09-08,Late Delivery,86.97
RET-00607,ORD-03402,2024-11-21,Product Not as Described,83.99
RET-00608,ORD-06400,2025-05-31,Changed Mind,356.97
RET-00609,ORD-06080,2025-05-11,Damaged Item,42.59
RET-00610,ORD-03134,2024-11-05,Late Delivery,262.0
RET-00611,ORD-01752,2024-07-08,Wrong Size,115.0
RET-00612,ORD-03699,2024-11-27,Changed Mind,65.99
RET-00613,ORD-09800,2025-12-31,Wrong Size,28.99
RET-00614,ORD-06815,2025-07-14,Changed Mind,68.87
RET-00615,ORD-09102,2025-12-11,Product Not as Described,18.75
RET-00616,ORD-04819,2024-12-25,Defective Item,37.9
RET-00617,ORD-01247,2024-05-30,Product Not as Described,179.9
RET-00618,ORD-03536,2024-11-21,Wrong Size,146.69
RET-00619,ORD-07397,2025-08-23,Late Delivery,194.0
RET-00620,ORD-06944,2025-07-14,Late Delivery,52.5
RET-00621,ORD-00022,2024-01-11,Defective Item,91.7
RET-00622,ORD-08085,2025-10-27,Changed Mind,23.19
RET-00623,ORD-08158,2025-11-10,Wrong Size,17.05
RET-00624,ORD-03283,2024-11-13,Changed Mind,158.0
RET-00625,ORD-05054,2025-01-02,Defective Item,13.96
RET-00626,ORD-00039,2024-01-21,Wrong Size,28.99
RET-00627,ORD-00953,2024-05-06,Changed Mind,47.99
RET-00628,ORD-02887,2024-10-13,Late Delivery,95.4
RET-00629,ORD-05725,2025-03-28,Defective Item,17.95
RET-00630,ORD-05744,2025-03-28,Product Not as Described,18.95
RET-00631,ORD-07339,2025-08-27,Damaged Item,114.95
RET-00632,ORD-09622,2025-12-30,Product Not as Described,89.95
RET-00633,ORD-08379,2025-11-15,Changed Mind,4.16
RET-00634,ORD-05833,2025-04-07,Defective Item,31.44
RET-00635,ORD-08064,2025-10-27,Wrong Size,172.0
RET-00636,ORD-02556,2024-09-14,Damaged Item,50.38
RET-00637,ORD-06153,2025-05-10,Changed Mind,84.5
RET-00638,ORD-04064,2024-12-05,Wrong Size,43.0
RET-00639,ORD-02041,2024-07-27,Changed Mind,41.9
RET-00640,ORD-02986,2024-10-24,Damaged Item,33.11
RET-00641,ORD-01258,2024-05-28,Wrong Size,105.3
RET-00642,ORD-09843,2025-12-29,Damaged Item,71.0
RET-00643,ORD-09673,2026-01-01,Wrong Size,81.9
RET-00644,ORD-06565,2025-06-23,Product Not as Described,85.98
RET-00645,ORD-08581,2025-11-21,Wrong Size,91.99
RET-00646,ORD-07281,2025-08-12,Late Delivery,18.05
RET-00647,ORD-00725,2024-04-10,Defective Item,21.0
RET-00648,ORD-06785,2025-07-09,Changed Mind,39.9
RET-00649,ORD-06987,2025-07-19,Wrong Size,248.0
RET-00650,ORD-04645,2024-12-18,Wrong Size,66.0
RET-00651,ORD-05646,2025-03-24,Wrong Size,100.22
RET-00652,ORD-01230,2024-05-27,Wrong Size,39.0
RET-00653,ORD-05296,2025-02-03,Defective Item,75.61
RET-00654,ORD-02206,2024-08-08,Wrong Size,83.9
RET-00655,ORD-03249,2024-11-08,Damaged Item,70.99
RET-00656,ORD-07726,2025-10-05,Defective Item,124.0
RET-00657,ORD-07260,2025-08-08,Wrong Size,57.98
RET-00658,ORD-05868,2025-04-19,Product Not as Described,177.9
RET-00659,ORD-08124,2025-10-26,Changed Mind,163.5
RET-00660,ORD-04473,2024-12-17,Defective Item,167.98
RET-00661,ORD-04115,2024-12-04,Defective Item,34.15
RET-00662,ORD-08590,2025-12-02,Defective Item,213.32
RET-00663,ORD-07483,2025-09-09,Defective Item,45.0
RET-00664,ORD-00962,2024-05-01,Wrong Size,35.99
RET-00665,ORD-01564,2024-06-22,Wrong Size,98.97
RET-00666,ORD-07787,2025-10-07,Wrong Size,88.2
RET-00667,ORD-01678,2024-07-04,Defective Item,77.24
RET-00668,ORD-04685,2024-12-29,Product Not as Described,111.0
RET-00669,ORD-06647,2025-06-27,Wrong Size,28.99
RET-00670,ORD-09540,2025-12-20,Product Not as Described,79.0
RET-00671,ORD-03250,2024-11-17,Product Not as Described,115.0
RET-00672,ORD-08286,2025-11-08,Wrong Size,29.69
RET-00673,ORD-02896,2024-10-19,Defective Item,58.99
RET-00674,ORD-01460,2024-06-13,Defective Item,100.79
RET-00675,ORD-08313,2025-11-19,Damaged Item,143.8
RET-00676,ORD-00357,2024-03-04,Wrong Size,33.15
RET-00677,ORD-08511,2025-11-25,Wrong Size,63.0
RET-00678,ORD-05013,2025-01-12,Product Not as Described,27.96
RET-00679,ORD-03655,2024-11-26,Damaged Item,50.95
RET-00680,ORD-04205,2024-12-15,Wrong Size,57.98
RET-00681,ORD-06245,2025-05-16,Damaged Item,359.8
RET-00682,ORD-02756,2024-10-04,Damaged Item,7.19
RET-00683,ORD-05896,2025-04-25,Defective Item,85.36
RET-00684,ORD-02381,2024-09-02,Late Delivery,91.99
RET-00685,ORD-01311,2024-06-07,Damaged Item,137.7
RET-00686,ORD-08993,2025-12-07,Wrong Size,95.98
RET-00687,ORD-08613,2025-12-02,Wrong Size,37.5
RET-00688,ORD-01188,2024-05-27,Product Not as Described,12.0
RET-00689,ORD-08184,2025-11-04,Changed Mind,28.99
RET-00690,ORD-02749,2024-10-02,Wrong Size,50.95
RET-00691,ORD-06736,2025-07-03,Damaged Item,9.0
RET-00692,ORD-09055,2025-12-13,Wrong Size,31.46
RET-00693,ORD-01991,2024-08-03,Changed Mind,50.95
RET-00694,ORD-06892,2025-07-11,Product Not as Described,24.95
RET-00695,ORD-05040,2025-01-08,Product Not as Described,26.39
RET-00696,ORD-00429,2024-03-03,Defective Item,36.95
RET-00697,ORD-06663,2025-06-27,Wrong Size,81.52
RET-00698,ORD-07459,2025-09-05,Changed Mind,19.79
RET-00699,ORD-08381,2025-11-12,Wrong Size,25.99
RET-00700,ORD-00701,2024-04-10,Wrong Size,28.99
RET-00701,ORD-00498,2024-03-13,Wrong Size,13.99
RET-00702,ORD-06427,2025-06-11,Changed Mind,52.19
RET-00703,ORD-09021,2025-12-05,Damaged Item,4.76
RET-00704,ORD-09410,2025-12-24,Wrong Size,28.99
RET-00705,ORD-09087,2025-12-13,Late Delivery,109.98
RET-00706,ORD-07504,2025-09-12,Defective Item,4.16
RET-00707,ORD-03332,2024-11-15,Wrong Size,31.85
RET-00708,ORD-03592,2024-11-21,Late Delivery,101.9
RET-00709,ORD-03909,2024-12-02,Product Not as Described,370.6
RET-00710,ORD-08421,2025-11-18,Damaged Item,17.98
RET-00711,ORD-05180,2025-01-14,Wrong Size,46.8
RET-00712,ORD-04889,2025-01-01,Product Not as Described,35.9
RET-00713,ORD-03243,2024-11-05,Defective Item,73.9
RET-00714,ORD-02254,2024-08-20,Product Not as Described,23.19
RET-00715,ORD-08922,2025-12-07,Defective Item,150.99
RET-00716,ORD-04360,2024-12-13,Changed Mind,25.2
RET-00717,ORD-05322,2025-02-12,Damaged Item,44.0
RET-00718,ORD-07821,2025-10-12,Product Not as Described,28.99
RET-00719,ORD-00828,2024-04-16,Damaged Item,106.95
RET-00720,ORD-05755,2025-04-08,Wrong Size,63.0
RET-00721,ORD-01170,2024-05-16,Damaged Item,41.99
RET-00722,ORD-04068,2024-12-11,Wrong Size,27.89
RET-00723,ORD-09292,2025-12-13,Product Not as Described,77.9
RET-00724,ORD-04253,2024-12-17,Wrong Size,91.99
RET-00725,ORD-04620,2024-12-22,Changed Mind,96.99
RET-00726,ORD-09296,2025-12-14,Damaged Item,34.99
RET-00727,ORD-09198,2025-12-07,Wrong Size,57.98
RET-00728,ORD-01461,2024-06-13,Late Delivery,7.16
RET-00729,ORD-05076,2025-01-12,Wrong Size,58.0
RET-00730,ORD-01549,2024-06-21,Damaged Item,41.29
RET-00731,ORD-05242,2025-01-22,Wrong Size,12.56
RET-00732,ORD-01517,2024-06-19,Late Delivery,43.99
RET-00733,ORD-06888,2025-07-11,Damaged Item,32.29
RET-00734,ORD-05923,2025-04-25,Damaged Item,39.96
RET-00735,ORD-05590,2025-03-17,Wrong Size,61.98
RET-00736,ORD-00542,2024-03-24,Product Not as Described,57.6
RET-00737,ORD-07673,2025-09-19,Changed Mind,13.0
RET-00738,ORD-09386,2025-12-21,Product Not as Described,63.2
RET-00739,ORD-04420,2024-12-17,Defective Item,54.0
RET-00740,ORD-08518,2025-11-24,Wrong Size,29.99
RET-00741,ORD-08757,2025-12-01,Product Not as Described,23.7
RET-00742,ORD-05251,2025-02-03,Product Not as Described,50.95
RET-00743,ORD-05337,2025-02-09,Damaged Item,28.99
RET-00744,ORD-08367,2025-11-09,Changed Mind,67.89
RET-00745,ORD-08302,2025-11-15,Damaged Item,106.95
RET-00746,ORD-02849,2024-10-07,Defective Item,71.0
RET-00747,ORD-06594,2025-06-23,Changed Mind,42.0
RET-00748,ORD-08784,2025-12-05,Product Not as Described,8.4
RET-00749,ORD-03709,2024-12-05,Damaged Item,5.39
RET-00750,ORD-01506,2024-06-17,Damaged Item,24.95
RET-00751,ORD-08973,2025-12-01,Product Not as Described,23.95
RET-00752,ORD-02635,2024-09-27,Wrong Size,167.9
RET-00753,ORD-02274,2024-08-24,Changed Mind,60.99
RET-00754,ORD-09597,2025-12-21,Damaged Item,41.95
RET-00755,ORD-01362,2024-06-07,Wrong Size,35.95
RET-00756,ORD-01567,2024-06-20,Damaged Item,8.0
RET-00757,ORD-01685,2024-07-09,Defective Item,43.35
RET-00758,ORD-08628,2025-11-29,Wrong Size,58.5
RET-00759,ORD-03621,2024-11-24,Wrong Size,19.79
RET-00760,ORD-08411,2025-11-22,Late Delivery,83.95
RET-00761,ORD-03212,2024-11-13,Wrong Size,37.8
RET-00762,ORD-01658,2024-07-02,Late Delivery,41.95
RET-00763,ORD-05825,2025-04-17,Wrong Size,26.34
RET-00764,ORD-03141,2024-10-30,Defective Item,102.0
RET-00765,ORD-06643,2025-06-19,Product Not as Described,20.95
RET-00766,ORD-02394,2024-08-31,Defective Item,89.95
RET-00767,ORD-09909,2025-12-31,Wrong Size,18.99
RET-00768,ORD-07752,2025-10-05,Damaged Item,282.0
RET-00769,ORD-08690,2025-12-04,Product Not as Described,23.24
RET-00770,ORD-02464,2024-09-09,Product Not as Described,91.98
RET-00771,ORD-04404,2024-12-14,Wrong Size,17.0
RET-00772,ORD-06513,2025-06-09,Product Not as Described,25.99
RET-00773,ORD-03276,2024-11-10,Wrong Size,18.95
RET-00774,ORD-08528,2025-11-29,Wrong Size,60.99
RET-00775,ORD-05422,2025-02-26,Late Delivery,54.0
RET-00776,ORD-01873,2024-07-18,Defective Item,5.95
RET-00777,ORD-05883,2025-04-17,Late Delivery,113.04
RET-00778,ORD-00104,2024-01-26,Changed Mind,38.0
RET-00779,ORD-05068,2025-01-13,Product Not as Described,83.0
RET-00780,ORD-07288,2025-08-22,Wrong Size,21.0
RET-00781,ORD-00602,2024-03-27,Wrong Size,28.99
RET-00782,ORD-04120,2024-12-11,Product Not as Described,10.71
RET-00783,ORD-09319,2025-12-17,Defective Item,29.25
RET-00784,ORD-04101,2024-12-10,Defective Item,62.99
RET-00785,ORD-07204,2025-08-06,Defective Item,166.0
RET-00786,ORD-06894,2025-07-21,Wrong Size,83.9
RET-00787,ORD-09732,2026-01-03,Wrong Size,28.79
RET-00788,ORD-00909,2024-04-29,Wrong Size,143.9
RET-00789,ORD-08123,2025-10-31,Damaged Item,60.99
RET-00790,ORD-06999,2025-07-24,Product Not as Described,22.99
RET-00791,ORD-01782,2024-07-10,Damaged Item,40.0
RET-00792,ORD-09855,2025-12-26,Wrong Size,27.2
RET-00793,ORD-09456,2025-12-20,Late Delivery,22.5
RET-00794,ORD-06375,2025-06-04,Product Not as Described,100.0
RET-00795,ORD-07461,2025-09-01,Late Delivery,109.0
RET-00796,ORD-06639,2025-06-22,Wrong Size,80.0
RET-00797,ORD-02214,2024-08-16,Product Not as Described,179.9
RET-00798,ORD-01321,2024-05-27,Damaged Item,109.2
RET-00799,ORD-01518,2024-06-21,Wrong Size,28.99
RET-00800,ORD-05179,2025-01-18,Product Not as Described,77.98
RET-00801,ORD-05055,2025-01-10,Wrong Size,70.99
RET-00802,ORD-01645,2024-06-27,Defective Item,91.96
RET-00803,ORD-06821,2025-07-16,Product Not as Described,2.4
RET-00804,ORD-04558,2024-12-24,Changed Mind,19.0
RET-00805,ORD-03631,2024-12-01,Wrong Size,48.75
RET-00806,ORD-02048,2024-07-28,Wrong Size,162.99
RET-00807,ORD-01643,2024-07-04,Defective Item,65.0
RET-00808,ORD-07595,2025-09-11,Defective Item,6.99
RET-00809,ORD-09652,2025-12-30,Late Delivery,287.97
RET-00810,ORD-03020,2024-10-20,Defective Item,100.0
RET-00811,ORD-05574,2025-03-07,Defective Item,45.95
RET-00812,ORD-06605,2025-06-19,Defective Item,162.99
RET-00813,ORD-09745,2026-01-04,Wrong Size,28.99
RET-00814,ORD-05980,2025-04-21,Wrong Size,25.0
RET-00815,ORD-06123,2025-05-06,Damaged Item,102.99
RET-00816,ORD-05730,2025-03-28,Late Delivery,6.79
RET-00817,ORD-09186,2025-12-09,Damaged Item,25.99
RET-00818,ORD-09454,2025-12-19,Late Delivery,11.99
